"STATION","NAME","DATE","TMAX","TMIN"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-26","58","52"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-27","60","52"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-28","59","55"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-29","70","54"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-04-30","63","55"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-01","74","55"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-02","75","59"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-03","80","56"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-04","83","62"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-05","89","57"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-06","86","61"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-07","82","61"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-08","62","50"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-09","65","45"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-10","74","45"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-11","76","62"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-12","87","65"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-13","90","69"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-14","81","59"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-15","72","52"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-16","74","53"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-17","76","57"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-18","79","63"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-19","82","64"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-20","72","65"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-21","68","61"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-22","84","60"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-23","83","65"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-24","82","69"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-25","83","69"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-26","78","61"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-27","76","55"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-28","84","60"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-29","84","64"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-30","85","64"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-05-31","83","71"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-01","90","69"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-02","90","73"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-03","89","73"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-04","78","64"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-05","80","60"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-06","78","62"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-07","92","72"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-08","85","59"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-09","77","52"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-10","75","61"
